kind	term
species	上岸蛙
species	乌拉塔
species	九幽菇
species	仪式巨像
species	伊丽莎白
species	伊兰亚龙
species	伊兰龙
species	伊贝粉粉
species	健猫教练
species	公平鸽
species	兽花蕾
species	冰钻布鲁斯
species	利灯鱼
species	加尔
species	化蝶
species	千棘海针
species	千棘盔
species	卡洛儿
species	卡瓦重
species	卷毛鸭
species	卷胡巨獭
species	厉毒修萝
species	厉毒鸩兽
species	古卷匣魔像
species	古卷执政官
species	古啦多
species	古齿帝牙
species	叮叮恶魔
species	叶冕魔力猫
species	咔咔鸟
species	嗜波螺
species	嘟嘟锅
species	噼啪鸟
species	圆号鱼
species	圣代甜甜
species	圣剑-X
species	圣剑骑士
species	圣水守护
species	圣羽翼王
species	声波缇塔
species	夜枭
species	夜游魔
species	奇丽果
species	奇丽花
species	奇梦咪
species	女王蜂
species	学院呱呱
species	寂灭骨龙
species	寒音蛇
species	小光
species	小皮球
species	尖嘴狐仙
species	岚鸟
species	巨噬针鼹
species	巨灵石
species	布克棱岩
species	帕帕斯卡
species	幻影灵菇
species	幻影荆棘
species	幽冥眼
species	幽影树
species	彩虹独角兽
species	彩蝶鲨
species	影狸
species	怒目怂猫
species	怖哭菇
species	恶魔狼
species	恶魔狼王
species	恶魔红钻
species	抹茶布丁
species	捕尘长绒
species	斑枭
species	星云旅者
species	星光狮
species	春花兔
species	晶石蜗
species	暮星辰
species	月亮砣
species	月牙雪熊
species	朔夜伊芙
species	机甲小子
species	权杖-V
species	格兰球
species	格斗小五
species	格斗小八
species	格斗小六
species	梦悠悠
species	梦想三三
species	棋契陛下
species	棋祈督
species	棋绮后
species	棋骑士
species	棋齐垒
species	椰浆布丁
species	武者鸡
species	水泡壳
species	水灵
species	波多西
species	波普鹿
species	泥吼牙
species	流浪鼠
species	海枝枝
species	海豹船长
species	深渊蛙
species	深蓝鲸
species	混乱鱿彩
species	游蛇魔使
species	火焰猿
species	火神
species	火羽
species	灵蔓草王
species	炽心勇狮
species	烈火守护
species	烈火战神
species	熔岩布丁
species	燃薪虫
species	爆角龙
species	爵士鹿
species	獠牙猪
species	琉璃水母
species	电企鹅
species	电球咩咩
species	画间沉铁兽
species	画间法师手
species	疾光千兽
species	白发路路
species	白金独角兽
species	皇家狮鹫
species	瞌睡王
species	石冠王蜥
species	神谕鲨
species	祭礼巨像
species	秩序鱿墨
species	窃光蚊
species	立方人
species	粉耳星兔
species	红绒十字
species	绅士鸡
species	绒仙子
species	绒光优优
species	罗隐
species	翠顶夫人
species	翼龙
species	芋香巨角蛛
species	花影羚羊
species	花衣蝶
species	花魁蜂后
species	荆棘电环
species	菊花梨
species	落陨星兔
species	蒲公英娃娃
species	蓝衣夜灵
species	蝶叶巨蜥
species	裘卡
species	记忆石
species	贝古斯
species	超能球球
species	蹦床松鼠
species	蹦蹦果
species	蹦蹦花
species	迪莫
species	迷嶂布莱克
species	迷迷眼
species	迷迷箱怪
species	遁地鼠
species	邪眼巨魔
species	酷拉
species	里拉鳐
species	针叶巡林
species	钻石蜗
species	铠甲虫
species	锤头鹳
species	闪电鳗鱼
species	陨星虫
species	障眼魔
species	雅丹鬃
species	雪巨人
species	雪影冰灵
species	雪影娃娃
species	雪灵
species	雷暴奔奔
species	霜翼领主
species	音速犬
species	风暴战犬
species	风滚暮虫
species	飞天刀螂
species	食尘短绒
species	饮雪狂兽
species	高脚鹬
species	魔力猫
species	魔眷鸟
species	魔草巫灵
species	鳗尾兽
species	鸭吉吉
species	鸭吉吉国王
species	黑猫密探
species	黑猫巫师
species	黑羽夫人
species	龙息帕尔
species	龙鱼
move	三鼓作气
move	不动如山
move	不可接触
move	主场优势
move	乘胜追击
move	二律背反
move	交叉闪电
move	仙人掌刺击
move	以毒攻毒
move	以重制重
move	休息回复
move	伪造账单
move	伺机而动
move	俯冲猛击
move	偷袭
move	充分燃烧
move	先发制人
move	光合作用
move	光能聚集
move	冰冻光线
move	冰天雪地
move	冰锋横扫
move	击鼓传花
move	力量吞噬
move	力量增效
move	加大功率
move	升龙咆哮
move	午夜噪音
move	双联脉冲
move	叶绿光束
move	后发制人
move	吨位压制
move	啮合传递
move	四维降解
move	回旋风暴
move	坟场搏击
move	垂死反击
move	增程电池
move	多维击打
move	天旋地转
move	孢子爆散
move	导电撞击
move	小偷小摸
move	岩土暴击
move	岩脉崩毁
move	幼态延续
move	幽灵爆发
move	应激反应
move	强制重启
move	当头棒喝
move	彼岸之手
move	心灵洞悉
move	快速移动
move	念力膨胀
move	怨力打击
move	恶念交换
move	恶意逃离
move	惊吓盒子
move	扬沙
move	技巧打击
move	折线冲击
move	持续高温
move	指指点点
move	旋转突击
move	无畏之心
move	易燃物质
move	星云漩涡
move	星星撞击
move	星轨裂变
move	暗箱操作
move	月光合奏
move	有效预防
move	杠杆置换
move	极寒领域
move	极速冷冻
move	极限撕裂
move	欺诈契约
move	毒液渗透
move	气势一击
move	气沉丹田
move	水光冲击
move	水刃
move	水幕冲击
move	水花四溅
move	沙涌
move	泡沫幻影
move	泥巴喷射
move	泥浆铠甲
move	流星火雨
move	淤泥表皮
move	溃烂触碰
move	火焰冲锋
move	火焰切割
move	火焰护盾
move	炙热波动
move	烈焰风暴
move	热身运动
move	焚烧烙印
move	爆米花爆破
move	爆裂飞弹
move	猛烈撞击
move	玩具乐园
move	球状闪电
move	甜心续航
move	生日蛋糕
move	电弧
move	电磁偏转
move	电离爆破
move	疫病吐息
move	疾风涡轮
move	疾风连袭
move	瘴气喷射
move	瞬间零度
move	砂石冲撞
move	砂糖弹球
move	破罐破摔
move	示弱
move	离子火花
